Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of Cell Junction Assembly (GO:1901888)	1/25	0.02471677377849272	0.07967524723890594	0	0	43.76315789473684	161.93563879493826	PRKCA
Lipid Translocation (GO:0034204)	1/25	0.02471677377849272	0.07967524723890594	0	0	43.76315789473684	161.93563879493826	ATP9A
Regulation of Lipid Catabolic Process (GO:0050994)	1/26	0.025693274055310834	0.07972964209704561	0	0	42.01052631578948	153.82263569148483	RARRES2
Diterpenoid Metabolic Process (GO:0016101)	1/26	0.025693274055310834	0.07972964209704561	0	0	42.01052631578948	153.82263569148483	RARRES2
Regulation of Platelet Aggregation (GO:0090330)	1/26	0.025693274055310834	0.07972964209704561	0	0	42.01052631578948	153.82263569148483	PRKCA
Regulation of Cytokine Production Involved in Immune Response (GO:0002718)	1/27	0.02666884553614584	0.07972964209704561	0	0	40.392712550607285	146.39366123411943	BTK
Protein Quality Control for Misfolded or Incompletely Synthesized Proteins (GO:0006515)	1/27	0.02666884553614584	0.07972964209704561	0	0	40.392712550607285	146.39366123411943	YME1L1
Regulation of Proteolysis Involved in Protein Catabolic Process (GO:1903050)	1/27	0.02666884553614584	0.07972964209704561	0	0	40.392712550607285	146.39366123411943	PRKCA
Regulation of Striated Muscle Contraction (GO:0006942)	1/28	0.02764348904824574	0.07972964209704561	0	0	38.89473684210526	139.56851455439977	PRKCA
Positive Regulation of Mitotic Cell Cycle (GO:0045931)	1/28	0.02764348904824574	0.07972964209704561	0	0	38.89473684210526	139.56851455439977	PRKCA
Cellular Response to Hexose Stimulus (GO:0071331)	1/28	0.02764348904824574	0.07972964209704561	0	0	38.89473684210526	139.56851455439977	PRKCA
Positive Regulation of G Protein-Coupled Receptor Signaling Pathway (GO:0045745)	1/28	0.02764348904824574	0.07972964209704561	0	0	38.89473684210526	139.56851455439977	PRKCA
Regulation of Platelet Activation (GO:0010543)	1/29	0.028617205427454835	0.08107658767888234	0	0	37.50375939849624	133.2788782141628	PRKCA
Negative Regulation of Cytokine Production Involved in Inflammatory Response (GO:1900016)	1/30	0.02958999550324173	0.08107658767888234	0	0	36.208711433756804	127.46621354176987	PRKCA
Positive Regulation of Calcium-Mediated Signaling (GO:0050850)	1/30	0.02958999550324173	0.08107658767888234	0	0	36.208711433756804	127.46621354176987	PRKCA
Regulation of Bone Resorption (GO:0045124)	1/30	0.02958999550324173	0.08107658767888234	0	0	36.208711433756804	127.46621354176987	PRKCA
Regulation of Chemotaxis (GO:0050920)	1/30	0.02958999550324173	0.08107658767888234	0	0	36.208711433756804	127.46621354176987	RARRES2
Positive Regulation of Locomotion (GO:0040017)	1/32	0.03153280007583892	0.08554442792851351	0	0	33.869269949066215	117.07681999296598	RARRES2
B Cell Receptor Signaling Pathway (GO:0050853)	1/33	0.03250281622696285	0.08731148672733156	0	0	32.80921052631579	112.41841533087528	BTK
Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)	1/34	0.033471909401101146	0.08740187796586199	0	0	31.8133971291866	108.07165990908112	NDUFB5
Regulation of Cardiac Muscle Contraction (GO:0055117)	1/34	0.033471909401101146	0.08740187796586199	0	0	31.8133971291866	108.07165990908112	PRKCA
Toll-Like Receptor Signaling Pathway (GO:0002224)	1/35	0.03444008042248791	0.08740187796586199	0	0	30.876160990712073	104.00740624656505	BTK
Phospholipid Translocation (GO:0045332)	1/35	0.03444008042248791	0.08740187796586199	0	0	30.876160990712073	104.00740624656505	ATP9A
Positive Regulation of Axonogenesis (GO:0050772)	1/35	0.03444008042248791	0.08740187796586199	0	0	30.876160990712073	104.00740624656505	CHODL
Phosphorylation (GO:0016310)	2/298	0.03523490552271755	0.08740187796586199	0	0	7.388888888888889	24.72113895126262	BTK;PRKCA
Peptidyl-Threonine Phosphorylation (GO:0018107)	1/36	0.0354073301248565	0.08740187796586199	0	0	29.992481203007518	100.19997336732251	PRKCA
Cellular Response to Heat (GO:0034605)	1/36	0.0354073301248565	0.08740187796586199	0	0	29.992481203007518	100.19997336732251	PRKCA
Regulatory ncRNA Processing (GO:0070918)	1/36	0.0354073301248565	0.08740187796586199	0	0	29.992481203007518	100.19997336732251	PIWIL1
Cellular Response to Glucose Stimulus (GO:0071333)	1/37	0.03637365932928062	0.08819807660374239	0	0	29.157894736842106	96.62665093408293	PRKCA
Regulatory ncRNA-mediated Gene Silencing (GO:0031047)	1/37	0.03637365932928062	0.08819807660374239	0	0	29.157894736842106	96.62665093408293	PIWIL1
Regulation of Axonogenesis (GO:0050770)	1/38	0.03733906887382628	0.08974477957393333	0	0	28.36842105263158	93.26728562261795	CHODL
Positive Regulation of Lymphocyte Differentiation (GO:0045621)	1/39	0.03830355957487035	0.09126239411751717	0	0	27.62049861495845	90.10393439678077	BTK
Negative Regulation of Cell-Cell Adhesion (GO:0022408)	1/40	0.039267132268101	0.09195892514068099	0	0	26.910931174089068	87.12057233834933	NOTCH4
Branching Morphogenesis of an Epithelial Tube (GO:0048754)	1/40	0.039267132268101	0.09195892514068099	0	0	26.910931174089068	87.12057233834933	NOTCH4
Positive Regulation of Insulin Secretion (GO:0032024)	1/41	0.040229787776673645	0.0925121178304604	0	0	26.236842105263158	84.30284540999916	PRKCA
Notch Signaling Pathway (GO:0007219)	1/42	0.04119152691721229	0.0925121178304604	0	0	25.59563543003851	81.63786025385905	NOTCH4
Regulation of NLRP3 Inflammasome Complex Assembly (GO:1900225)	1/42	0.04119152691721229	0.0925121178304604	0	0	25.59563543003851	81.63786025385905	BTK
Defense Response to Fungus (GO:0050832)	1/42	0.04119152691721229	0.0925121178304604	0	0	25.59563543003851	81.63786025385905	RARRES2
Digestive Tract Development (GO:0048565)	1/42	0.04119152691721229	0.0925121178304604	0	0	25.59563543003851	81.63786025385905	RARRES2
Positive Regulation of Myeloid Leukocyte Differentiation (GO:0002763)	1/43	0.042152350529806835	0.09390035809078921	0	0	24.984962406015036	79.11400474395023	PRKCA
Peptidyl-Threonine Modification (GO:0018210)	1/44	0.04311225942960537	0.09450207266969499	0	0	24.402692778457773	76.72079424655034	PRKCA
Positive Regulation of Response to Biotic Stimulus (GO:0002833)	1/44	0.04311225942960537	0.09450207266969499	0	0	24.402692778457773	76.72079424655034	PRKCA
Peptidyl-Tyrosine Modification (GO:0018212)	1/46	0.045029336387548594	0.09473911782282811	0	0	23.31578947368421	72.28923154104575	BTK
Positive Regulation of Chemotaxis (GO:0050921)	1/46	0.045029336387548594	0.09473911782282811	0	0	23.31578947368421	72.28923154104575	RARRES2
Regulation of Calcium-Mediated Signaling (GO:0050848)	1/46	0.045029336387548594	0.09473911782282811	0	0	23.31578947368421	72.28923154104575	PRKCA
BMP Signaling Pathway (GO:0030509)	1/47	0.045986506096482256	0.09473911782282811	0	0	22.80778032036613	70.23444455974413	AMHR2
Positive Regulation of Pattern Recognition Receptor Signaling Pathway (GO:0062208)	1/47	0.045986506096482256	0.09473911782282811	0	0	22.80778032036613	70.23444455974413	BTK
Regulation of mRNA Catabolic Process (GO:0061013)	1/47	0.045986506096482256	0.09473911782282811	0	0	22.80778032036613	70.23444455974413	PRKCA
Retrograde Vesicle-Mediated Transport, Golgi to Endoplasmic Reticulum (GO:0006890)	1/47	0.045986506096482256	0.09473911782282811	0	0	22.80778032036613	70.23444455974413	ATP9A
Intracellular Glucose Homeostasis (GO:0001678)	1/47	0.045986506096482256	0.09473911782282811	0	0	22.80778032036613	70.23444455974413	PRKCA
Positive Regulation of Peptide Hormone Secretion (GO:0090277)	1/48	0.046942764384003306	0.09476990017621988	0	0	22.32138857782755	68.27724816722397	PRKCA
