Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Fc Epsilon Receptor (FCERI) Signaling	1/197	0.1796881576076363	0.239049423960159	0	0	5.312567132116004	9.119193547123624	BTK
Neurotransmitter Receptors and Postsynaptic Signal Transmission	1/204	0.18547078755879814	0.24455882607310553	0	0	5.12756028001037	8.639210388089602	PRKCA
Signaling by NOTCH	1/209	0.1895775053726868	0.2466876197677157	0	0	5.003036437246964	8.319836159348089	NOTCH4
Signaling by ROBO Receptors	1/210	0.19039648505561949	0.2466876197677157	0	0	4.9788466381264165	8.258147136064768	PRKCA
Leishmania Infection	1/245	0.2185704849775349	0.2783504466807923	0	0	4.257118205349439	6.473572881408745	BTK
Parasitic Infection Pathways	1/245	0.2185704849775349	0.2783504466807923	0	0	4.257118205349439	6.473572881408745	BTK
Diseases of Metabolism	1/264	0.23347230984590295	0.29480825565287744	0	0	3.9457674604762856	5.739875554818689	NOTCH4
Transmission Across Chemical Synapses	1/269	0.23734873868239917	0.2956678846925124	0	0	3.871170463472113	5.567613164935601	PRKCA
Signaling by Nuclear Receptors	1/270	0.23812178632954015	0.2956678846925124	0	0	3.856583838779104	5.5340937924214195	PDK1
Signaling by WNT	1/287	0.25115024907386463	0.3092676620826928	0	0	3.624217887375782	5.007596051240995	PRKCA
Extracellular Matrix Organization	1/300	0.260970084253525	0.31872575863750185	0	0	3.4643548671008624	4.653839371430468	PRKCA
G Alpha (I) Signalling Events	1/316	0.2728881438519747	0.33057181653613193	0	0	3.2857142857142856	4.26713511950017	PRKCA
Intracellular Signaling by Second Messengers	1/321	0.2765749367576415	0.33233601271684343	0	0	3.2335526315789473	4.155999429725275	PRKCA
M Phase	1/372	0.3131796504077144	0.37117494848814814	0	0	2.7818130231238474	3.2296245270526462	PRKCA
Class I MHC Mediated Antigen Processing & Presentation	1/373	0.3138794866409843	0.37117494848814814	0	0	2.774193548387097	3.2145861414048014	BTK
Neuronal System	1/411	0.33997688623376027	0.3988705200695297	0	0	2.5121951219512195	2.710351157825964	PRKCA
Metabolism	3/2181	0.3748100354042392	0.4363023068377472	0	0	1.4423918327661642	1.4154709646986312	NDUFB5;PRKCA;PDK1
SARS-CoV Infections	1/498	0.3962208342372776	0.4576504209407315	0	0	2.063221433866356	1.9100964860692353	BTK
Cell Cycle, Mitotic	1/516	0.40727451338889414	0.4638183252061851	0	0	1.9892692897291773	1.7868966297104871	PRKCA
Developmental Biology	2/1385	0.40778658122154526	0.4638183252061851	0	0	1.4940949626416005	1.3402201046192173	PRKCA;LEFTY2
Signaling by Receptor Tyrosine Kinases	1/536	0.4193308355467399	0.47311231601880144	0	0	1.912936546974914	1.662523754667767	PRKCA
Axon Guidance	1/541	0.4223083089295342	0.47311231601880144	0	0	1.894736842105263	1.6333003739682632	PRKCA
Nervous System Development	1/567	0.4375588105393658	0.4865392744057127	0	0	1.8052817556258136	1.4921450888886545	PRKCA
Sensory Perception	1/640	0.4783596125711674	0.5279672760970662	0	0	1.5930318754633062	1.1746897600830126	PRKCA
Cell Cycle	1/649	0.4831905657426679	0.5293778992327759	0	0	1.5701754385964912	1.1420579308714567	PRKCA
Gene Expression (Transcription)	2/1615	0.48830296815954227	0.5310740310640277	0	0	1.2652063098436317	0.9069242120233484	PIWIL1;NOTCH4
Metabolism of RNA	1/761	0.5398628021179457	0.5828953443157529	0	0	1.3310249307479225	0.8204973302280237	PRKCA
Cellular Responses to Stress	1/787	0.5521471651113208	0.5918699827452287	0	0	1.2852551225391724	0.7633652818862513	YME1L1
Adaptive Immune System	1/854	0.582383348598453	0.6198222781512107	0	0	1.1801690627506634	0.6380305205280654	BTK
Cellular Responses to Stimuli	1/887	0.5965529833805192	0.6303999611609743	0	0	1.1342521088273732	0.5859401409740886	YME1L1
Metabolism of Proteins	2/2067	0.627171142216181	0.6580880295085278	0	0	0.9639494215765402	0.44971693528121753	YME1L1;PDK1
Disease	2/2131	0.6445195106225545	0.6715622872920323	0	0	0.9316319607536141	0.40921951070938417	NOTCH4;BTK
Viral Infection Pathways	1/1029	0.6524785082700408	0.6751340120294174	0	0	0.9703051402826132	0.41429805341577464	BTK
Innate Immune System	1/1149	0.6939181594566414	0.7130607293726867	0	0	0.8633779570878416	0.31547938585102153	BTK
Generic Transcription Pathway	1/1230	0.7191875144394546	0.7339653400786216	0	0	0.8030062952336089	0.26469749964349126	NOTCH4
Infectious Disease	1/1311	0.7424667172633383	0.7525683052533158	0	0	0.750100441944556	0.22336283523287545	BTK
RNA Polymerase II Transcription	1/1360	0.7556463928669249	0.7607521117376475	0	0	0.7211571976298362	0.20205508315275023	NOTCH4
Immune System	1/2150	0.8972757922384552	0.8972757922384552	0	0	0.43670250544929096	0.047335059494848224	BTK
